Source,Target,AvgJuryPts,AvgPublicPts,Divergence,Encounters,DivergenceDirection
SI,AL,0.5,3.25,2.75,8,PublicFavours
NO,CH,6.0,3.25,2.75,8,JuryFavours
NL,NO,5.0,7.75,2.75,8,PublicFavours
LV,AM,3.71,1.0,2.71,7,JuryFavours
IT,NL,4.71,2.0,2.71,7,JuryFavours
SE,RS,0.57,3.29,2.71,7,PublicFavours
ES,IS,2.57,5.29,2.71,7,PublicFavours
AM,FI,3.71,1.0,2.71,7,JuryFavours
MT,GR,3.0,0.29,2.71,7,JuryFavours
AZ,PT,5.0,2.29,2.71,7,JuryFavours
AL,AU,6.0,3.33,2.67,6,JuryFavours
GR,AU,5.33,2.67,2.67,6,JuryFavours
CY,RU,16.0,13.33,2.67,3,JuryFavours
BY,BG,11.33,14.0,2.67,3,PublicFavours
IE,FR,3.89,1.22,2.67,9,JuryFavours
SE,FR,4.56,1.89,2.67,9,JuryFavours
SI,AM,2.67,0.0,2.67,6,JuryFavours
CH,PL,0.0,2.67,2.67,6,PublicFavours
HU,LT,2.67,0.0,2.67,3,JuryFavours
HU,BE,0.0,2.67,2.67,3,PublicFavours
SM,BE,3.67,1.0,2.67,6,JuryFavours
GE,IT,5.67,3.0,2.67,9,JuryFavours
IE,HU,0.0,2.67,2.67,3,PublicFavours
MD,ME,0.0,2.67,2.67,3,PublicFavours
RU,FI,0.0,2.67,2.67,3,PublicFavours
SI,BY,3.33,0.67,2.67,3,JuryFavours
PL,DK,0.83,3.5,2.67,6,PublicFavours
AM,BY,0.67,3.33,2.67,3,PublicFavours
AZ,BY,8.33,5.67,2.67,3,JuryFavours
BY,GR,2.67,0.0,2.67,3,JuryFavours
LV,GR,2.83,0.17,2.67,6,JuryFavours
RU,SI,0.0,2.67,2.67,3,PublicFavours
SE,MK,0.0,2.67,2.67,3,PublicFavours
EE,CY,4.75,2.12,2.62,8,JuryFavours
SM,CY,3.62,6.25,2.62,8,PublicFavours
IS,PT,7.12,4.5,2.62,8,JuryFavours
ES,NO,0.25,2.88,2.62,8,PublicFavours
FR,AZ,2.6,0.0,2.6,5,JuryFavours
DE,AZ,3.8,1.2,2.6,5,JuryFavours
UA,GR,2.8,0.2,2.6,5,JuryFavours
MD,UA,9.57,12.14,2.57,7,PublicFavours
AZ,AU,4.43,1.86,2.57,7,JuryFavours
NO,AU,6.57,4.0,2.57,7,JuryFavours
HR,NL,5.71,3.14,2.57,7,JuryFavours
AM,EE,1.86,4.43,2.57,7,PublicFavours
PL,CH,6.57,4.0,2.57,7,JuryFavours
UA,CH,5.57,3.0,2.57,7,JuryFavours
CH,PT,7.14,9.71,2.57,7,PublicFavours
GB,EE,4.57,2.0,2.57,7,JuryFavours
CZ,FR,3.22,0.67,2.56,9,JuryFavours
PL,NO,1.11,3.67,2.56,9,PublicFavours
NO,UA,4.62,7.12,2.5,8,PublicFavours
BE,BG,7.5,5.0,2.5,4,JuryFavours
UA,SE,5.5,3.0,2.5,8,JuryFavours
ME,AZ,4.5,7.0,2.5,4,PublicFavours
MK,CZ,3.0,5.5,2.5,4,PublicFavours
RU,MD,11.75,9.25,2.5,4,JuryFavours
CZ,EE,2.25,4.75,2.5,8,PublicFavours
BY,MK,2.5,0.0,2.5,4,JuryFavours
IL,BY,1.75,4.25,2.5,4,PublicFavours
SI,DK,0.67,3.17,2.5,6,PublicFavours
PL,PT,6.0,3.5,2.5,8,JuryFavours
HR,RO,0.75,3.25,2.5,4,PublicFavours
MD,RO,9.0,11.5,2.5,4,PublicFavours
PT,FR,1.88,4.38,2.5,8,PublicFavours
RO,SI,3.0,0.5,2.5,4,JuryFavours
IE,FI,2.83,5.33,2.5,6,PublicFavours
BE,SM,3.0,0.5,2.5,4,JuryFavours
EE,SE,9.11,6.67,2.44,9,JuryFavours
MT,FR,3.89,1.44,2.44,9,JuryFavours
GR,IT,3.22,5.67,2.44,9,PublicFavours
MT,IT,7.89,10.33,2.44,9,PublicFavours
SE,IT,4.22,1.78,2.44,9,JuryFavours
CH,NO,4.67,2.22,2.44,9,JuryFavours
NL,AU,4.14,1.71,2.43,7,JuryFavours
CZ,BE,3.86,1.43,2.43,7,JuryFavours
DK,NL,9.0,6.57,2.43,7,JuryFavours
IE,NL,5.86,3.43,2.43,7,JuryFavours
SE,NL,7.14,4.71,2.43,7,JuryFavours
RS,AT,4.43,2.0,2.43,7,JuryFavours
MT,SM,1.57,4.0,2.43,7,PublicFavours
MD,FI,0.43,2.86,2.43,7,PublicFavours
MD,EE,4.14,1.71,2.43,7,JuryFavours
DK,AL,2.43,0.0,2.43,7,JuryFavours
MD,NO,3.29,5.71,2.43,7,PublicFavours
IL,GR,3.43,1.0,2.43,7,JuryFavours
LV,FI,3.0,5.43,2.43,7,PublicFavours
PT,CH,6.43,4.0,2.43,7,JuryFavours
AZ,MT,9.0,6.6,2.4,5,JuryFavours
AU,AZ,3.0,0.6,2.4,5,JuryFavours
NO,CZ,3.2,0.8,2.4,5,JuryFavours
ES,SM,0.6,3.0,2.4,5,PublicFavours
ME,PT,1.6,4.0,2.4,5,PublicFavours
NL,IE,0.0,2.4,2.4,5,PublicFavours
AU,SM,0.2,2.6,2.4,5,PublicFavours
PL,SM,4.8,2.4,2.4,5,JuryFavours
DE,UA,5.0,7.38,2.38,8,PublicFavours
RS,LT,2.75,0.38,2.38,8,JuryFavours
GE,CY,2.88,5.25,2.38,8,PublicFavours
RS,PT,3.88,1.5,2.38,8,JuryFavours
PT,IT,3.75,6.12,2.38,8,PublicFavours
PT,FI,1.62,4.0,2.38,8,PublicFavours
CZ,AU,6.33,4.0,2.33,6,JuryFavours
GR,RU,12.0,9.67,2.33,3,JuryFavours
AU,BE,8.17,5.83,2.33,6,JuryFavours
IL,MT,4.83,2.5,2.33,6,JuryFavours
CY,AT,4.0,1.67,2.33,6,JuryFavours
FI,AZ,2.33,0.0,2.33,6,JuryFavours
BY,HR,3.67,1.33,2.33,3,JuryFavours
BY,CZ,7.67,5.33,2.33,3,JuryFavours
EE,SM,0.67,3.0,2.33,6,PublicFavours
GR,FI,0.44,2.78,2.33,9,PublicFavours
IE,MK,2.33,0.0,2.33,6,JuryFavours
RS,BY,1.33,3.67,2.33,3,PublicFavours
GE,RO,2.0,4.33,2.33,3,PublicFavours
GR,BY,3.33,1.0,2.33,3,JuryFavours
ES,BY,2.33,0.0,2.33,3,JuryFavours
IT,EE,4.5,2.17,2.33,6,JuryFavours
ME,CH,2.33,0.0,2.33,3,JuryFavours
IL,AU,8.14,5.86,2.29,7,JuryFavours
HR,FI,1.0,3.29,2.29,7,PublicFavours
NO,PT,4.29,2.0,2.29,7,JuryFavours
PL,EE,2.71,5.0,2.29,7,PublicFavours
MT,UA,2.25,4.5,2.25,8,PublicFavours
GB,UA,2.0,4.25,2.25,8,PublicFavours
GB,BG,12.25,14.5,2.25,4,PublicFavours
HU,PL,3.0,5.25,2.25,4,PublicFavours
BY,NL,4.75,2.5,2.25,4,JuryFavours
RU,IL,5.75,3.5,2.25,4,JuryFavours
IL,GE,1.75,4.0,2.25,4,PublicFavours
PL,HR,2.0,4.25,2.25,4,PublicFavours
SM,FI,1.38,3.62,2.25,8,PublicFavours
IS,GR,2.88,0.62,2.25,8,JuryFavours
AU,FI,2.38,4.62,2.25,8,PublicFavours
DK,SE,9.67,11.89,2.22,9,PublicFavours
DE,FR,4.0,1.78,2.22,9,JuryFavours
LV,FR,3.22,1.0,2.22,9,JuryFavours
DE,LT,1.67,3.89,2.22,9,PublicFavours
SM,IT,8.44,6.22,2.22,9,JuryFavours
AU,ES,3.11,0.89,2.22,9,JuryFavours
IS,GB,3.0,0.78,2.22,9,JuryFavours
AT,DE,1.33,3.56,2.22,9,PublicFavours
RS,NO,1.67,3.89,2.22,9,PublicFavours
HR,BG,5.8,3.6,2.2,5,JuryFavours
MK,AM,0.4,2.6,2.2,5,PublicFavours
DK,BE,4.2,6.4,2.2,5,PublicFavours
NL,BE,6.4,8.6,2.2,5,PublicFavours
SM,AZ,5.2,3.0,2.2,5,JuryFavours
AU,HR,1.8,4.0,2.2,5,PublicFavours
MT,CZ,3.6,1.4,2.2,5,JuryFavours
ME,EE,2.2,4.4,2.2,5,PublicFavours
AU,MD,6.4,8.6,2.2,5,PublicFavours
HR,DK,2.8,0.6,2.2,5,JuryFavours
RO,UA,5.4,7.6,2.2,5,PublicFavours
MD,PL,0.17,2.33,2.17,6,PublicFavours
ES,MD,2.33,4.5,2.17,6,PublicFavours
GE,DK,3.67,1.5,2.17,6,JuryFavours
PT,NL,6.0,3.83,2.17,6,JuryFavours
RO,FR,0.67,2.83,2.17,6,PublicFavours
PT,AM,3.33,1.17,2.17,6,JuryFavours
GE,GR,3.0,5.17,2.17,6,PublicFavours
HR,AU,2.86,0.71,2.14,7,JuryFavours
GE,RS,1.43,3.57,2.14,7,PublicFavours
IT,RS,1.57,3.71,2.14,7,PublicFavours
PL,GE,3.57,1.43,2.14,7,JuryFavours
AM,AT,2.0,4.12,2.12,8,PublicFavours
HR,AT,2.0,4.12,2.12,8,PublicFavours
NL,IL,4.5,6.62,2.12,8,PublicFavours
MT,CY,6.0,3.88,2.12,8,JuryFavours
RS,CY,1.0,3.12,2.12,8,PublicFavours
ES,CY,5.0,2.88,2.12,8,JuryFavours
CY,NO,0.0,2.12,2.12,8,PublicFavours
DE,ES,2.33,0.22,2.11,9,JuryFavours
IT,DE,2.44,0.33,2.11,9,JuryFavours
AL,UA,3.0,5.0,2.0,8,PublicFavours
BG,AU,5.0,3.0,2.0,4,JuryFavours
SI,AU,5.14,3.14,2.0,7,JuryFavours
HU,BG,7.33,9.33,2.0,3,PublicFavours
RU,BG,2.0,0.0,2.0,3,JuryFavours
SI,BG,4.8,2.8,2.0,5,JuryFavours
UA,BG,1.8,3.8,2.0,5,PublicFavours
MK,SE,4.83,2.83,2.0,6,JuryFavours
AT,FR,3.44,1.44,2.0,9,JuryFavours
BG,FR,2.4,4.4,2.0,5,PublicFavours
MD,AM,7.17,5.17,2.0,6,JuryFavours
CY,PL,1.67,3.67,2.0,6,PublicFavours
ES,PL,1.0,3.0,2.0,7,PublicFavours
IL,LT,3.62,1.62,2.0,8,JuryFavours
CY,BE,4.14,2.14,2.0,7,JuryFavours
LT,BE,7.67,5.67,2.0,6,JuryFavours
NO,BE,2.4,4.4,2.0,5,PublicFavours
CH,MT,2.0,0.0,2.0,5,JuryFavours
LV,AT,3.0,1.0,2.0,9,JuryFavours
NL,AT,6.0,4.0,2.0,8,JuryFavours
LV,IL,1.38,3.38,2.0,8,PublicFavours
CH,IL,3.62,5.62,2.0,8,PublicFavours
DE,RS,1.38,3.38,2.0,8,PublicFavours
AL,HU,0.33,2.33,2.0,3,PublicFavours
MK,CY,3.33,5.33,2.0,6,PublicFavours
IT,ES,2.11,0.11,2.0,9,JuryFavours
NO,HR,0.14,2.14,2.0,7,PublicFavours
ES,HR,0.0,2.0,2.0,5,PublicFavours
IT,GB,2.67,0.67,2.0,9,JuryFavours
CZ,SM,0.4,2.4,2.0,5,PublicFavours
FR,SM,2.0,0.0,2.0,6,JuryFavours
ME,SM,2.0,4.0,2.0,5,PublicFavours
RU,IS,0.67,2.67,2.0,3,PublicFavours
AZ,FI,0.88,2.88,2.0,8,PublicFavours
CY,GR,12.75,14.75,2.0,8,PublicFavours
CY,EE,1.86,3.86,2.0,7,PublicFavours
BE,IE,2.6,4.6,2.0,5,PublicFavours
LT,IE,4.5,2.5,2.0,6,JuryFavours
PL,AL,2.57,0.57,2.0,7,JuryFavours
DE,DK,1.4,3.4,2.0,5,PublicFavours
DK,PT,4.29,2.29,2.0,7,JuryFavours
SI,PT,4.75,2.75,2.0,8,JuryFavours
BG,MD,6.25,8.25,2.0,4,PublicFavours
NL,RO,1.0,3.0,2.0,5,PublicFavours
AT,NO,2.75,4.75,2.0,8,PublicFavours
HU,NO,7.33,9.33,2.0,3,PublicFavours
PT,BY,2.0,0.0,2.0,3,JuryFavours
BG,GR,11.5,9.5,2.0,4,JuryFavours
FI,DK,1.6,3.6,2.0,5,PublicFavours
FR,DK,0.5,2.5,2.0,6,PublicFavours
LV,IS,7.6,5.6,2.0,5,JuryFavours
RO,RS,1.5,3.5,2.0,6,PublicFavours
MK,SM,0.0,2.0,2.0,4,PublicFavours
RO,FI,3.0,5.0,2.0,4,PublicFavours
BG,IS,0.0,2.0,2.0,3,PublicFavours
MK,IS,2.0,0.0,2.0,4,JuryFavours
PT,SM,0.0,2.0,2.0,3,PublicFavours
BE,GB,2.22,0.33,1.89,9,JuryFavours
FI,GB,2.33,0.44,1.89,9,JuryFavours
SM,GB,2.67,0.78,1.89,9,JuryFavours
LV,NO,2.67,4.56,1.89,9,PublicFavours
LT,NO,3.78,5.67,1.89,9,PublicFavours
MD,SE,5.62,3.75,1.88,8,JuryFavours
MD,FR,1.25,3.12,1.88,8,PublicFavours
IL,RS,0.12,2.0,1.88,8,PublicFavours
GB,CY,1.38,3.25,1.88,8,PublicFavours
HR,GR,2.25,0.38,1.88,8,JuryFavours
HR,EE,1.12,3.0,1.88,8,PublicFavours
GB,CH,4.62,2.75,1.88,8,JuryFavours
GR,PT,4.88,3.0,1.88,8,JuryFavours
SM,PT,3.12,1.25,1.88,8,JuryFavours
DK,EE,1.25,3.12,1.88,8,PublicFavours
NO,AM,2.57,0.71,1.86,7,JuryFavours
IS,LT,1.29,3.14,1.86,7,PublicFavours
EE,NL,5.43,3.57,1.86,7,JuryFavours
MT,NL,3.57,5.43,1.86,7,PublicFavours
RS,MT,2.29,0.43,1.86,7,JuryFavours
IE,HR,2.57,4.43,1.86,7,PublicFavours
AM,GR,5.57,7.43,1.86,7,PublicFavours
AZ,MD,5.43,3.57,1.86,7,JuryFavours
MT,PT,3.0,1.14,1.86,7,JuryFavours
CZ,CH,5.0,3.14,1.86,7,JuryFavours
ME,SE,5.67,3.83,1.83,6,JuryFavours
ME,NL,2.33,0.5,1.83,6,JuryFavours
EE,MT,2.67,0.83,1.83,6,JuryFavours
GB,LV,2.5,4.33,1.83,6,PublicFavours
MK,GB,1.83,0.0,1.83,6,JuryFavours
GE,SI,2.67,0.83,1.83,6,JuryFavours
UA,SI,2.83,1.0,1.83,6,JuryFavours
IT,GR,3.67,1.83,1.83,6,JuryFavours
AT,DK,3.5,1.67,1.83,6,JuryFavours
BE,IS,4.33,2.5,1.83,6,JuryFavours
PT,IS,5.67,3.83,1.83,6,JuryFavours
CY,SI,1.83,0.0,1.83,6,JuryFavours
UA,EE,1.83,3.67,1.83,6,PublicFavours
CH,FI,2.0,3.83,1.83,6,PublicFavours
BG,IT,2.2,4.0,1.8,5,PublicFavours
DE,CZ,1.0,2.8,1.8,5,PublicFavours
MT,IS,0.0,1.8,1.8,5,PublicFavours
MD,IS,3.2,1.4,1.8,5,JuryFavours
BE,DK,0.2,2.0,1.8,5,PublicFavours
AT,SI,2.2,0.4,1.8,5,JuryFavours
IL,FR,2.78,4.56,1.78,9,PublicFavours
DK,AT,4.33,2.56,1.78,9,JuryFavours
DE,IT,3.56,5.33,1.78,9,PublicFavours
IL,IT,3.22,5.0,1.78,9,PublicFavours
NO,ES,1.89,0.11,1.78,9,JuryFavours
AL,GB,2.56,0.78,1.78,9,JuryFavours
FR,GB,2.0,0.22,1.78,9,JuryFavours
FR,DE,1.78,0.0,1.78,9,JuryFavours
AZ,BG,4.5,6.25,1.75,4,PublicFavours
EE,LV,3.0,4.75,1.75,4,PublicFavours
HU,IT,1.75,3.5,1.75,4,PublicFavours
MD,IT,2.5,4.25,1.75,8,PublicFavours
BY,AZ,1.75,3.5,1.75,4,PublicFavours
GR,HU,4.0,2.25,1.75,4,JuryFavours
IE,CY,4.0,2.25,1.75,8,JuryFavours
RU,CY,7.25,9.0,1.75,4,PublicFavours
BG,HR,4.0,2.25,1.75,4,JuryFavours
UA,GB,3.25,1.5,1.75,8,JuryFavours
UA,DE,2.38,0.62,1.75,8,JuryFavours
AL,BY,1.75,0.0,1.75,4,JuryFavours
AL,IE,0.0,1.75,1.75,4,PublicFavours
EE,PT,3.62,1.88,1.75,8,JuryFavours
RO,AZ,5.0,6.75,1.75,4,PublicFavours
ME,DK,2.5,0.75,1.75,4,JuryFavours
GE,FI,1.0,2.75,1.75,8,PublicFavours
AU,ME,0.0,1.75,1.75,4,PublicFavours
MT,MK,4.5,2.75,1.75,4,JuryFavours
RO,CZ,4.0,2.25,1.75,4,JuryFavours
SM,SI,3.25,1.5,1.75,4,JuryFavours
CY,AM,3.86,5.57,1.71,7,PublicFavours
AU,PL,3.86,2.14,1.71,7,JuryFavours
IS,NL,7.43,5.71,1.71,7,JuryFavours
GE,AT,2.57,0.86,1.71,7,JuryFavours
IS,CZ,6.86,5.14,1.71,7,JuryFavours
SM,GR,6.86,8.57,1.71,7,PublicFavours
SE,EE,2.57,4.29,1.71,7,PublicFavours
IT,CH,4.14,2.43,1.71,7,JuryFavours
AM,NO,2.29,4.0,1.71,7,PublicFavours
BE,GR,1.29,3.0,1.71,7,PublicFavours
IL,EE,4.71,6.43,1.71,7,PublicFavours
NO,EE,0.57,2.29,1.71,7,PublicFavours
AL,EE,1.14,2.86,1.71,7,PublicFavours
RS,AU,5.5,3.83,1.67,6,JuryFavours
AL,RU,5.33,7.0,1.67,3,PublicFavours
HR,RU,9.67,11.33,1.67,3,PublicFavours
GB,FR,2.44,0.78,1.67,9,JuryFavours
MK,PL,3.33,1.67,1.67,3,JuryFavours
FR,LV,1.67,0.0,1.67,6,JuryFavours
NL,LV,1.83,0.17,1.67,6,JuryFavours
ME,IT,4.0,5.67,1.67,6,PublicFavours
NO,IT,4.22,2.56,1.67,9,JuryFavours
BE,AZ,2.5,0.83,1.67,6,JuryFavours
HR,AZ,1.67,3.33,1.67,6,PublicFavours
MK,AZ,5.17,3.5,1.67,6,JuryFavours
LV,HU,0.0,1.67,1.67,3,PublicFavours
LT,HU,1.33,3.0,1.67,3,PublicFavours
MD,HU,1.33,3.0,1.67,3,PublicFavours
CH,HU,2.67,4.33,1.67,3,PublicFavours
AL,ES,2.44,0.78,1.67,9,JuryFavours
GB,HR,3.67,2.0,1.67,6,JuryFavours
AT,CZ,5.5,3.83,1.67,6,JuryFavours
AZ,CZ,2.0,3.67,1.67,6,PublicFavours
RS,DE,2.22,0.56,1.67,9,JuryFavours
CZ,FI,2.78,4.44,1.67,9,PublicFavours
RU,EE,2.67,1.0,1.67,3,JuryFavours
HU,PT,4.0,2.33,1.67,3,JuryFavours
PT,HU,2.33,0.67,1.67,3,JuryFavours
PT,DK,0.0,1.67,1.67,6,PublicFavours
RO,DK,5.0,3.33,1.67,3,JuryFavours
GB,IS,3.67,5.33,1.67,6,PublicFavours
RO,IS,0.0,1.67,1.67,3,PublicFavours
AL,SM,5.0,6.67,1.67,3,PublicFavours
BE,UA,4.38,6.0,1.62,8,PublicFavours
IS,UA,3.25,4.88,1.62,8,PublicFavours
AL,LT,0.12,1.75,1.62,8,PublicFavours
IS,AT,5.5,3.88,1.62,8,JuryFavours
AM,ES,2.62,1.0,1.62,8,JuryFavours
EE,GR,1.62,0.0,1.62,8,JuryFavours
CZ,NO,1.12,2.75,1.62,8,PublicFavours
AU,LV,3.0,1.4,1.6,5,JuryFavours
BG,ES,3.2,1.6,1.6,5,JuryFavours
NL,CZ,3.2,1.6,1.6,5,JuryFavours
AU,IE,5.0,6.6,1.6,5,PublicFavours
BG,CH,4.4,2.8,1.6,5,JuryFavours
DK,SM,2.0,0.4,1.6,5,JuryFavours
MD,LT,1.29,2.86,1.57,7,PublicFavours
DE,AT,4.71,3.14,1.57,7,JuryFavours
MD,RS,0.0,1.57,1.57,7,PublicFavours
NO,CY,2.57,1.0,1.57,7,JuryFavours
HR,MD,1.71,3.29,1.57,7,PublicFavours
LV,PT,6.29,4.71,1.57,7,JuryFavours
PT,GR,2.14,3.71,1.57,7,PublicFavours
SM,CH,5.0,3.43,1.57,7,JuryFavours
IE,EE,2.71,4.29,1.57,7,PublicFavours
AZ,CH,3.14,4.71,1.57,7,PublicFavours
IS,SE,7.89,9.44,1.56,9,PublicFavours
FI,FR,3.67,2.11,1.56,9,JuryFavours
PL,IL,3.78,2.22,1.56,9,JuryFavours
FR,IT,4.22,5.78,1.56,9,PublicFavours
LT,IT,3.89,5.44,1.56,9,PublicFavours
LV,GB,1.89,0.33,1.56,9,JuryFavours
SE,GB,2.22,0.67,1.56,9,JuryFavours
CZ,DE,2.0,0.44,1.56,9,JuryFavours
SM,EE,3.22,1.67,1.56,9,JuryFavours
IL,CH,3.33,1.78,1.56,9,JuryFavours
CH,UA,3.12,4.62,1.5,8,PublicFavours
DE,BG,5.5,7.0,1.5,4,PublicFavours
ME,FR,2.33,0.83,1.5,6,JuryFavours
SM,LT,2.88,1.38,1.5,8,JuryFavours
AT,BE,2.83,1.33,1.5,6,JuryFavours
ME,BE,4.25,2.75,1.5,4,JuryFavours
GB,BE,4.33,2.83,1.5,6,JuryFavours
MD,NL,2.5,4.0,1.5,6,PublicFavours
PL,MT,1.5,0.0,1.5,6,JuryFavours
ME,AT,2.25,0.75,1.5,4,JuryFavours
NO,AT,3.0,1.5,1.5,8,JuryFavours
AT,IL,3.0,4.5,1.5,8,PublicFavours
GR,IL,2.12,3.62,1.5,8,PublicFavours
GE,LV,6.0,4.5,1.5,6,JuryFavours
RU,IT,2.75,4.25,1.5,4,PublicFavours
EE,RS,2.0,0.5,1.5,8,JuryFavours
AU,HU,2.5,1.0,1.5,4,JuryFavours
ME,HU,3.5,5.0,1.5,4,PublicFavours
AU,CY,2.88,4.38,1.5,8,PublicFavours
RU,GB,1.5,0.0,1.5,4,JuryFavours
AM,CZ,4.33,2.83,1.5,6,JuryFavours
IT,CZ,1.83,0.33,1.5,6,JuryFavours
SM,CZ,2.17,3.67,1.5,6,PublicFavours
RU,SM,1.5,0.0,1.5,4,JuryFavours
ME,MD,4.5,6.0,1.5,4,PublicFavours
HU,EE,1.5,3.0,1.5,4,PublicFavours
SM,NO,3.5,2.0,1.5,8,JuryFavours
DE,GR,1.0,2.5,1.5,6,PublicFavours
PT,GE,0.75,2.25,1.5,4,PublicFavours
AU,EE,4.17,2.67,1.5,6,JuryFavours
BE,EE,2.83,4.33,1.5,6,PublicFavours
RO,AL,2.25,0.75,1.5,4,JuryFavours
DE,IS,0.75,2.25,1.5,4,PublicFavours
AL,SE,5.0,3.56,1.44,9,JuryFavours
MT,SE,9.44,8.0,1.44,9,JuryFavours
ES,SE,6.11,4.67,1.44,9,JuryFavours
ES,IL,4.11,5.56,1.44,9,PublicFavours
EE,GB,2.0,0.56,1.44,9,JuryFavours
FR,EE,0.11,1.56,1.44,9,PublicFavours
IE,AU,3.0,4.43,1.43,7,PublicFavours
FI,AM,2.14,0.71,1.43,7,JuryFavours
CZ,LT,1.71,0.29,1.43,7,JuryFavours
AU,NL,2.43,1.0,1.43,7,JuryFavours
ES,NL,3.71,2.29,1.43,7,JuryFavours
EE,AT,5.71,4.29,1.43,7,JuryFavours
UA,IL,5.71,4.29,1.43,7,JuryFavours
IS,RS,1.57,0.14,1.43,7,JuryFavours
SI,CY,3.86,2.43,1.43,7,JuryFavours
NL,FI,1.71,3.14,1.43,7,PublicFavours
LV,BE,4.2,5.6,1.4,5,PublicFavours
GB,MT,1.6,3.0,1.4,5,PublicFavours
HR,LV,1.4,0.0,1.4,5,JuryFavours
SM,LV,2.6,1.2,1.4,5,JuryFavours
DK,AZ,1.0,2.4,1.4,5,PublicFavours
SI,AZ,4.2,2.8,1.4,5,JuryFavours
GR,GE,1.8,3.2,1.4,5,PublicFavours
IS,GE,1.4,0.0,1.4,5,JuryFavours
LV,GE,1.6,3.0,1.4,5,PublicFavours
BG,GB,2.0,0.6,1.4,5,JuryFavours
IE,CZ,5.2,3.8,1.4,5,JuryFavours
EE,DK,3.0,4.4,1.4,5,PublicFavours
SI,IS,2.8,4.2,1.4,5,PublicFavours
RO,CH,5.0,6.4,1.4,5,PublicFavours
MT,AL,2.8,1.4,1.4,5,JuryFavours
IE,IS,1.8,3.2,1.4,5,PublicFavours
CH,IS,4.0,2.6,1.4,5,JuryFavours
IT,AT,2.12,0.75,1.38,8,JuryFavours
IT,IL,5.75,4.38,1.38,8,JuryFavours
DK,RS,1.38,0.0,1.38,8,JuryFavours
PT,SE,2.75,4.12,1.38,8,PublicFavours
ES,RU,4.67,6.0,1.33,3,PublicFavours
EE,FR,3.0,1.67,1.33,9,JuryFavours
RS,FR,4.11,2.78,1.33,9,JuryFavours
DK,LT,3.0,4.33,1.33,9,PublicFavours
PL,BE,6.0,4.67,1.33,6,JuryFavours
CH,BE,3.83,2.5,1.33,6,JuryFavours
AU,AT,3.5,2.17,1.33,6,JuryFavours
HU,AT,5.33,6.67,1.33,3,PublicFavours
ME,IL,0.0,1.33,1.33,6,PublicFavours
RS,IL,4.0,2.67,1.33,9,JuryFavours
NO,LV,2.67,1.33,1.33,6,JuryFavours
AT,IT,4.89,6.22,1.33,9,PublicFavours
DK,HU,1.0,2.33,1.33,3,PublicFavours
MK,HU,1.67,3.0,1.33,3,PublicFavours
UA,HU,5.67,4.33,1.33,3,JuryFavours
UA,GE,5.0,6.33,1.33,3,PublicFavours
MT,ES,2.11,0.78,1.33,9,JuryFavours
SE,ES,1.67,0.33,1.33,9,JuryFavours
SE,HR,2.17,3.5,1.33,6,PublicFavours
AT,GB,2.22,0.89,1.33,9,JuryFavours
SI,GB,1.33,0.0,1.33,9,JuryFavours
BE,DE,1.56,0.22,1.33,9,JuryFavours
NO,DE,2.0,0.67,1.33,9,JuryFavours
AM,MD,6.5,5.17,1.33,6,JuryFavours
SM,MD,5.5,6.83,1.33,6,PublicFavours
AU,BY,2.0,0.67,1.33,3,JuryFavours
MK,NO,0.67,2.0,1.33,6,PublicFavours
IE,SI,1.33,0.0,1.33,6,JuryFavours
GB,DK,3.5,2.17,1.33,6,JuryFavours
NO,MD,2.17,3.5,1.33,6,PublicFavours
EE,BY,3.67,5.0,1.33,3,PublicFavours
NO,GR,4.5,3.17,1.33,6,JuryFavours
BY,EE,4.33,5.67,1.33,3,PublicFavours
AM,CH,5.83,4.5,1.33,6,JuryFavours
RO,RU,5.67,7.0,1.33,3,PublicFavours
RS,ME,8.67,10.0,1.33,3,PublicFavours
PT,MT,1.33,0.0,1.33,3,JuryFavours
MT,AU,4.14,5.43,1.29,7,PublicFavours
IL,AM,1.71,3.0,1.29,7,PublicFavours
LV,PL,0.43,1.71,1.29,7,PublicFavours
AM,LT,0.0,1.29,1.29,7,PublicFavours
EE,BE,2.43,3.71,1.29,7,PublicFavours
FI,BE,1.71,3.0,1.29,7,PublicFavours
IS,BE,2.57,3.86,1.29,7,PublicFavours
ES,BE,4.0,2.71,1.29,7,JuryFavours
AL,RS,2.57,1.29,1.29,7,JuryFavours
ES,RS,2.57,1.29,1.29,7,JuryFavours
LT,CY,0.86,2.14,1.29,7,PublicFavours
GB,AL,2.14,0.86,1.29,7,JuryFavours
AZ,UA,6.75,8.0,1.25,8,PublicFavours
NO,RU,2.5,3.75,1.25,4,PublicFavours
MT,BG,8.0,9.25,1.25,4,PublicFavours
GB,AM,1.25,0.0,1.25,8,JuryFavours
RU,LT,1.25,2.5,1.25,4,PublicFavours
BY,RS,2.25,1.0,1.25,4,JuryFavours
IE,RS,1.88,0.62,1.25,8,JuryFavours
IS,HU,1.5,2.75,1.25,4,PublicFavours
AZ,GE,3.25,4.5,1.25,4,PublicFavours
HU,ES,1.25,0.0,1.25,4,JuryFavours
HU,GB,1.25,0.0,1.25,4,JuryFavours
AT,GR,1.25,0.0,1.25,8,JuryFavours
NL,EE,0.5,1.75,1.25,8,PublicFavours
BG,PT,5.75,4.5,1.25,4,JuryFavours
AZ,RO,4.5,3.25,1.25,4,JuryFavours
