Source,Target,MutualScore,A_to_B_avg,B_to_A_avg
FI,NO,8.64,4.11,4.53
BY,MT,8.63,4.38,4.25
FR,MD,8.63,6.69,1.95
MD,RS,8.63,1.93,6.69
AT,CH,8.6,5.29,3.3
CH,MK,8.6,6.38,2.22
CH,IE,8.59,4.65,3.94
MT,NO,8.59,4.77,3.82
CH,PL,8.58,2.06,6.53
RU,SI,8.56,2.94,5.62
DE,RS,8.54,6.6,1.94
CS,DK,8.5,0.0,8.5
CS,PT,8.5,0.0,8.5
AD,IL,8.5,7.5,1.0
AD,HU,8.5,8.5,0.0
GB,SE,8.49,5.41,3.08
AT,EE,8.49,3.39,5.1
IE,RO,8.47,6.0,2.47
IS,PL,8.46,4.33,4.12
BG,PL,8.46,2.75,5.71
NL,NO,8.45,4.43,4.02
MK,RO,8.45,4.21,4.24
NO,RO,8.43,4.33,4.1
MD,ME,8.41,2.11,6.3
AU,GE,8.4,1.78,6.62
CY,SE,8.39,5.54,2.85
MT,TR,8.38,3.95,4.43
PT,RO,8.31,5.31,3.0
BG,RU,8.3,6.64,1.67
SE,SI,8.29,1.15,7.13
AM,SM,8.28,1.56,6.73
AZ,PT,8.27,4.54,3.73
CH,EE,8.25,2.3,5.95
GE,PT,8.25,6.15,2.1
CZ,NO,8.25,4.5,3.75
HU,IL,8.23,3.92,4.31
IE,NO,8.21,4.48,3.73
ME,SE,8.21,6.54,1.67
BE,IE,8.2,4.56,3.64
ES,GR,8.18,4.67,3.51
SE,SM,8.18,0.38,7.8
AD,UA,8.17,8.17,0.0
CS,TR,8.17,0.67,7.5
BA,NO,8.16,2.75,5.41
IL,RS,8.15,1.93,6.21
DK,LT,8.12,4.26,3.86
SE,SK,8.1,0.6,7.5
AL,HU,8.1,4.92,3.18
BE,IL,8.09,5.25,2.84
CY,CZ,8.08,4.44,3.64
AZ,EE,8.08,4.21,3.87
AL,BE,8.07,3.18,4.89
DK,RO,8.04,3.37,4.67
RU,SM,8.03,1.12,6.9
GB,MA,8.0,0.0,8.0
DE,UA,8.0,6.3,1.7
CS,FR,8.0,0.0,8.0
AZ,LU,8.0,8.0,0.0
LU,RS,8.0,2.5,5.5
GE,PL,7.98,3.69,4.29
CH,UA,7.96,3.63,4.33
ME,SM,7.96,4.33,3.62
BG,LT,7.95,3.5,4.45
BE,EE,7.93,3.29,4.64
DE,IL,7.92,5.46,2.47
GB,TR,7.91,4.21,3.71
LV,MT,7.89,3.23,4.67
GR,UA,7.88,5.1,2.78
CH,LT,7.87,2.22,5.65
FR,IT,7.85,4.56,3.29
AT,PL,7.84,4.47,3.37
IE,LU,7.83,3.7,4.13
AT,SI,7.83,2.68,5.14
AM,PL,7.83,2.55,5.29
AT,RU,7.82,6.24,1.59
